participant_id,ui_visibility_movement_score,avatar_interaction_score,comfort_presence_score
1,4.25,3.0,3.8333333333333335
2,3.375,3.0,3.3333333333333335
3,4.125,4.0,3.6666666666666665
4,2.375,3.5,3.5
5,3.875,4.0,4.333333333333333
6,1.625,1.5,1.6666666666666667
7,2.625,2.75,3.6666666666666665
8,3.125,2.75,2.8333333333333335
9,2.5,4.5,2.5
10,2.875,3.25,3.8333333333333335
11,3.875,3.0,2.3333333333333335
12,4.125,3.5,3.0
13,3.125,3.5,3.1666666666666665
14,3.125,3.25,2.8333333333333335
15,2.875,2.25,1.3333333333333333
16,1.5,1.0,1.0
17,3.375,3.5,4.0
18,2.875,3.5,3.8333333333333335
19,2.875,4.5,3.8333333333333335
20,3.875,4.25,4.333333333333333
