variable,n,mean,median,std
ui_visible,20,3.65,4.0,1.3869694338832115
ui_position_appropriate,20,3.0,4.0,1.2977713690461004
ui_distance_comfortable,20,2.6,2.0,1.2311740225021848
ui_movement_smooth,20,3.45,4.0,1.5035046776746235
ui_movement_natural,20,3.1,3.5,1.2937094768634554
ui_repositioning_improved,20,3.1,3.0,1.2096106376585989
ui_repositioning_distracting,20,2.75,2.0,1.2085223687584246
avatar_clear_view,20,3.3,3.5,1.2607433062326872
avatar_social_presence,20,3.65,4.0,1.2258187382102494
avatar_interaction_flow,20,3.4,4.0,1.1424811411549585
avatar_not_awkward,20,3.3,4.0,1.260743306232687
avatar_approach_comfort,20,2.55,2.0,1.234376040972246
ui_no_discomfort,20,2.85,3.0,1.3088765773505318
interaction_immersive,20,3.25,3.0,1.019545822516343
ui_socially_appropriate,20,3.0,3.5,1.3377121081198773
comfortable_with_others_present,20,3.1,3.0,1.3726654823065194
ui_not_disruptive,20,3.45,4.0,1.2763022245616642
ui_predictable,20,3.2,4.0,1.3611140947574412
